"comparison","rows","columns","numeric_columns","maximum_absolute_difference","status"
"CSV: all_primary_models.csv",216,34,21,5.6843418860808e-14,"PASS"
"CSV: fdr_significant_models.csv",22,34,20,5.6843418860808e-14,"PASS"
"CSV: outcome_descriptives.csv",9,15,12,3.73034936274053e-14,"PASS"
"CSV: block_summary.csv",5,7,6,0,"PASS"
"CSV: significant_model_diagnostics.csv",22,13,9,5.6843418860808e-14,"PASS"
"Workbook: participants",9,2,1,4.44089209850063e-15,"PASS"
"Workbook: screening_by_age",3,5,5,0,"PASS"
"Workbook: variable_dictionary",31,5,0,0,"PASS"
"Workbook: outcome_descriptives",9,15,12,4.08562073062058e-14,"PASS"
"Workbook: predictor_descriptives",22,15,12,2.27373675443232e-13,"PASS"
"Workbook: correlations",32,33,32,1.11022302462516e-15,"PASS"
"Workbook: model_results",216,34,21,6.03961325396085e-14,"PASS"
"Workbook: block_summary",5,7,6,0,"PASS"
"Workbook: significant_results",22,34,21,6.03961325396085e-14,"PASS"
"Workbook: significant_diagnostics",22,13,10,6.03961325396085e-14,"PASS"
"Markdown: table1_participants.md",11,,,0,"PASS"
"Markdown: table2_outcomes.md",11,,,0,"PASS"
"Markdown: table3_block_summary.md",7,,,0,"PASS"
"Markdown: table4_totals.md",7,,,0,"PASS"
"Markdown: table5_subscales_indices.md",19,,,0,"PASS"
"Markdown: results_narrative.md",9,,,0,"PASS"
