ID,group,sex,age,class,section,hand,semestre,"eta_2 (gruppo 1 5 e 6 anni del primo semestre, gruppo 2 6 anni e 7 anni primo semestre e gruppo 3 7 anni secondo semestre ",NOTE,CBT_F_SPAN_PRE,CBT_B_SPAN_PRE,TOL_TP_PRE,TOL_TE_PRE,TOL_TR_PRE,TOL_ACC_PRE,TOL_VIO_REG_PRE,Raven_ACC_PRE,RAVEN_T_PRE,WM_SPAN_PRE,WM_TRIAL_PRE,WM_ACC_PRE,PLANNING_TP_PRE,PLANNING_TE_PRE,PLANNING_TR_PRE,PLANNING_SPAN_PRE,PLANNING_TRIAL_PRE,PLANNING_ACC_PRE,PLANNING_OST_PRE,PLANNING_MATT_PRE,PLANNING_MATTI_MIN_PRE,PLANNING_PERC_PRE,PWM_TP_PRE,PWM_TE_PRE,PWM_TR_PRE,PWM_TRIAL_PRE,PWM_ACC_PRE,PWM_OST_PRE,PWM_MATT_PRE,PWM_ MATT_MIN_PRE,PWM_PERC_PRE,ABAS_comm_use,ABAS_comm_use_supp,ABAS_fun_acc,ABAS_fun_acc_suppongo,ABAS_school_liv,ABAS_school_liv_suppongo,ABAS_Health_saf_sic,ABAS_Health_saf_suppongo,ABAS_Leisure,ABAS_Leisure_suppongo,ABAS_Selfcare,ABAS_Selfcare_suppongo,ABAS_Selfdirection,ABAS_Selfdirection_suppongo,ABAS_soc,ABAS_soc_suppongo,BRIEF_Inhibit,BRIEF_SelfMonitor,BRIEF_BRI,BRIEF_shift,BRIEF_Em_Con,BRIEF_ERI,BRIEF_Initiate,BRIEF_wm,BRIEF_plann,BRIEF_TaskMonitor,BRIEF_OrganizMaterial,BRIEF_CRI,CBT_F_SPAN_POST,CBT_B_SPAN_POST,TOL_TP_POST,TOL_TE_POST,TOL_TR_POST,TOL_ACC_POST,TOL_VIO_REG_POST,Raven_ACC_POST,RAVEN_T_POST,WM_SPAN_POST,WM_TRIAL_POST,WM_ACC_POST,PLANNING_TP_POST,PLANNING_TE_POST,PLANNING_TOT_POST,PLANNING_span_POST,PLANNING_trial_POST,PLANNING_ACC_POST,PLANNING_OST_POST,PLANNING_MATT_POST,PLANNING_MATTI_MIN_POST,PLANNING_PERC_POST,PWM_TP_POST,PWM_TE_POST,PWM_T_POST,PWM_TRIAL_POST,PWM_ACC_POST,PWM_OST_POST,PWM_MATT_POST,PWM_MATT_MIN_POST,PWM_PERC_POST,PLANNING_EFF_PRE,PLANNING_EFF_POST,PWM_EFF_PRE,PWM_EFF_POST
EXP01,1,F,7,1,exp,D,2,3,,4,3,73,170,243,22,0,29,440,2,3,2,65,187,252,8,8,16,0,69,61,"88,41",13,89,102,7,7,3,36,36,100,20,4,28,3,48,2,,2,46,1,55,,59,1,56,,8,5,13,8,8,16,4,8,8,6,5,31,3,3,32,111,143,25,0,22,510,3,5,3,122,170,292,8,8,16,0,75,61,"81,33",36083,-35981,102,4,4,2,24,18,75,8,14,0,6
EXP02,1,M,7,2,exp,D,2,3,,5,4,24,103,127,29,0,25,256,3,4,4,35,92,127,8,8,16,0,87,61,"70,11",5,23,28,4,4,2,26,18,"69,23",39,,44,1,51,2,41,1,48,,52,2,56,,50,,13,10,23,9,14,23,6,8,8,6,4,32,6,5,34,95,129,32,0,28,220,7,9,7,17,54,71,8,8,16,0,61,61,100,6,25,31,5,6,2,30,28,"93,33",26,0,8,2
EXP04,1,M,7,2,exp,D,2,3,,3,0,105,272,377,24,1,25,370,1,2,0,36,224,260,8,8,16,0,65,61,"93,85",6,38,44,3,2,2,10,8,80,35,,47,,40,,40,,39,,57,,50,,47,,12,8,20,11,12,23,7,12,10,9,10,48,3,4,155,148,303,32,0,32,439,3,4,4,28,121,149,8,8,16,0,61,61,100,10,55,65,5,6,2,28,28,100,4,0,2,0
EXP06,1,M,7,2,exp,D,2,3,,5,4,141,137,278,28,1,22,523,3,4,2,73,167,240,8,8,16,0,65,61,"93,85",20,125,145,8,9,3,47,45,"95,74",36,3,54,4,57,1,42,2,34,,57,,55,,60,,9,6,15,13,8,21,7,12,12,9,5,45,4,5,84,111,195,28,0,24,307,4,5,4,30,121,151,9,8,16,0,63,61,"96,83",7,55,62,5,6,2,30,28,"93,33",4,2,2,2
EXP07,1,F,7,1,exp,D,2,3,,4,3,35,229,264,18,7,17,376,2,4,1,41,173,214,8,8,16,0,69,61,"88,41",14,105,119,8,9,3,59,47,"79,66",23,2,18,2,40,2,41,1,37,3,45,3,41,,51,,13,5,18,13,10,23,6,13,14,11,8,52,3,3,46,88,134,24,0,23,510,2,3,2,32,86,118,8,8,16,0,65,61,"93,85",8,29,37,4,4,2,24,18,75,8,4,12,6
EXP08,1,M,7,1,exp,D,2,3,,6,4,46,60,106,22,1,22,379,5,6,4,32,79,111,8,8,16,0,61,61,100,10,34,44,4,4,2,22,18,"81,82",24,1,22,,51,,39,1,51,,54,1,61,,58,,10,8,18,11,8,19,4,10,11,11,7,43,7,4,96,50,146,29,3,25,240,3,4,4,61,103,164,8,8,16,0,61,61,100,11,66,77,6,5,3,26,26,100,0,0,4,0
EXP09,1,M,7,2,exp,D,2,3,,4,3,50,84,134,25,0,25,355,3,4,4,42,88,130,8,8,16,0,73,61,"83,56",3,9,12,3,2,2,8,8,100,31,,42,,38,,32,,29,,41,,30,,38,,15,10,25,16,16,32,6,16,15,12,11,60,3,3,28,121,149,24,0,26,463,4,6,2,50,97,147,9,8,16,0,69,61,"88,41",8,18,26,3,2,2,8,8,100,12,8,0,0
EXP10,1,M,7,2,exp,D,2,3,,5,5,62,134,196,27,0,23,255,3,4,4,21,80,101,8,8,16,0,65,61,"93,85",5,37,42,7,4,4,28,26,"92,86",36,3,53,5,42,2,36,1,37,2,53,1,49,,50,,15,7,22,13,19,32,5,10,14,9,8,46,4,0,118,99,217,29,2,24,300,6,7,6,22,55,77,8,8,16,0,61,61,100,7,41,48,4,4,2,32,18,"56,25",4,0,2,14
EXP11,1,M,7,2,exp,D,2,3,,4,4,103,131,234,33,0,26,275,4,5,4,24,59,83,8,8,16,0,61,61,100,12,52,64,6,5,3,28,28,100,42,,53,,22,,33,,34,,43,,49,,45,,8,6,14,9,7,16,4,7,7,9,5,32,4,4,59,125,184,24,0,25,300,6,8,5,30,104,134,8,8,16,0,61,61,100,5,35,40,5,3,3,18,18,100,0,0,0,0
EXP12,1,F,7,1,exp,D,2,3,,4,2,69,180,249,22,2,13,348,2,4,1,91,401,492,8,10,14,2,79,62,"78,48",1,25,26,3,2,2,10,8,80,16,4,14,2,33,,40,,44,,57,,44,,59,,8,6,14,10,8,18,5,11,10,8,5,39,5,4,70,112,182,25,1,26,473,3,4,4,55,184,239,8,8,16,0,77,61,"79,22",10,39,49,5,3,3,18,18,100,17,16,2,0
