ID,group,group_label,sex,age,semestre,norm_group,norm_months,norm_mean,norm_sd,cutoff_mean_minus_2sd,CBT_F_SPAN_PRE,below_cutoff
EXP01,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,4,False
EXP02,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,5,False
EXP04,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,3,False
EXP06,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,5,False
EXP07,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,4,False
EXP08,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,6,False
EXP09,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,4,False
EXP10,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,5,False
EXP11,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,4,False
EXP12,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,4,False
EXP13,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,4,False
EXP14,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,0,True
EXP15,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,4,False
EXP16,1,experimental,F,6,2,FC3,75-81,3.54,0.79,1.96,4,False
GC03,1,experimental,M,5,1,MC2,65-74,3.69,0.66,2.37,0,True
GC04,1,experimental,F,5,1,FC2,65-74,2.62,1.0,0.6200000000000001,3,False
GC05,1,experimental,M,5,1,MC2,65-74,3.69,0.66,2.37,4,False
GC06,1,experimental,F,5,1,FC2,65-74,2.62,1.0,0.6200000000000001,3,False
GC07,1,experimental,M,5,1,MC2,65-74,3.69,0.66,2.37,4,False
GC08,1,experimental,F,5,1,FC2,65-74,2.62,1.0,0.6200000000000001,5,False
GC09,1,experimental,M,5,1,MC2,65-74,3.69,0.66,2.37,0,True
GC10,1,experimental,M,5,1,MC2,65-74,3.69,0.66,2.37,3,False
GC11,1,experimental,F,5,1,FC2,65-74,2.62,1.0,0.6200000000000001,3,False
SPR1,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,4,False
SPR2,2,control,F,7,1,FC4,82-96,3.81,0.57,2.67,4,False
SPR3,2,control,F,7,1,FC4,82-96,3.81,0.57,2.67,3,False
SPR4,2,control,F,7,1,FC4,82-96,3.81,0.57,2.67,4,False
SPR5,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,3,False
SPR6,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,5,False
SPR7,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,3,False
SPR8,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,0,True
SPR11,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,5,False
SPR12,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,3,False
SPR13,2,control,F,7,1,FC4,82-96,3.81,0.57,2.67,4,False
SPR14,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,4,False
SPR15,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,5,False
SPR16,2,control,F,7,1,FC4,82-96,3.81,0.57,2.67,4,False
SPR17,2,control,M,7,1,MC4,82-96,3.4,0.76,1.88,4,False
SPR18,1,experimental,M,7,1,MC4,82-96,3.4,0.76,1.88,5,False
SPR19,1,experimental,M,7,1,MC4,82-96,3.4,0.76,1.88,3,False
SPR20,1,experimental,F,7,1,FC4,82-96,3.81,0.57,2.67,6,False
SPR21,1,experimental,F,7,1,FC4,82-96,3.81,0.57,2.67,4,False
SPR22,1,experimental,F,7,1,FC4,82-96,3.81,0.57,2.67,6,False
SPR23,1,experimental,M,7,1,MC4,82-96,3.4,0.76,1.88,6,False
SPR25,1,experimental,F,7,1,FC4,82-96,3.81,0.57,2.67,4,False
PPR01,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,3,False
PPR02,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,5,False
PPR03,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,4,False
PPR04,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,6,False
PPR05,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,5,False
PPR06,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,0,True
PPR07,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,3,False
PPR08,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,4,False
PPR09,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,3,False
PPR10,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,3,False
PPR11,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,4,False
PPR12,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,3,False
PPR13,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,4,False
PPR14,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,3,False
PPR15,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,4,False
PPR16,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,5,False
PPR17,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,4,False
PPR20,1,experimental,F,6,2,FC3,75-81,3.54,0.79,1.96,4,False
PPR21,1,experimental,F,6,2,FC3,75-81,3.54,0.79,1.96,0,True
PPR22,1,experimental,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,4,False
PPR23,1,experimental,F,6,2,FC3,75-81,3.54,0.79,1.96,5,False
PPR24,1,experimental,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,4,False
PPR25,1,experimental,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,5,False
PPR26,1,experimental,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,4,False
PPR27,1,experimental,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,4,False
PPR28,1,experimental,F,6,2,FC3,75-81,3.54,0.79,1.96,4,False
PPR29,1,experimental,F,6,2,FC3,75-81,3.54,0.79,1.96,4,False
AC04,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,5,False
AC05,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,0,True
AC06,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,3,False
AC08,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,3,False
AC09,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,3,False
AC10,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,3,False
AC11,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,0,True
AC12,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,5,False
AC13,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,4,False
AC14,2,control,F,6,2,FC3,75-81,3.54,0.79,1.96,4,False
AC15,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,6,False
AC16,2,control,M,6,2,MC3,75-81,3.73,0.63,2.4699999999999998,4,False
AC18,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,3,False
AC19,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,4,False
AC20,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,5,False
AC21,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,5,False
AC22,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,5,False
AC23,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,5,False
AC24,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,3,False
AC25,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,5,False
AC26,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,4,False
AC27,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,5,False
AC28,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,5,False
AC29,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,5,False
AC30,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,5,False
AC31,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,5,False
AC32,1,experimental,M,7,2,MC4,82-96,3.4,0.76,1.88,4,False
AC33,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,5,False
AC34,1,experimental,F,7,2,FC4,82-96,3.81,0.57,2.67,4,False
