participant_id,occasion,score_field,database_column,source,original_value,output_value
EXP01,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,historical_original,88.41,88.41
EXP01,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,81.33,81.33
EXP01,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,100,100
EXP01,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,75,75
EXP02,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,70.11,100.0
EXP02,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,100,100
EXP02,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,69.23,94.444444
EXP02,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,93.33,93.33
EXP04,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,93.85,100.0
EXP04,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,100,100
EXP04,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,80,100.0
EXP04,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,100,100
EXP06,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,93.85,94.722222
EXP06,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,96.83,96.83
EXP06,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,95.74,96.363636
EXP06,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,93.33,93.33
EXP07,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,88.41,90.681818
EXP07,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,93.85,93.85
EXP07,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,79.66,82.417582
EXP07,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,75,75
EXP08,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,100,100.0
EXP08,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,100,100
EXP08,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,81.82,100.0
EXP08,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,100,100
EXP09,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,historical_original,83.56,83.56
EXP09,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,88.41,88.41
EXP09,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,100,100
EXP09,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,100,100
EXP10,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,93.85,100.0
