participant_id,occasion,span_wm,accuracy_wm,span_planning,accuracy_planning,span_wmplanning,accuracy_wmplanning,route_efficiency_pct_planning,route_efficiency_pct_wmplanning,wm_mean_total_time,wm_mean_planning_time,wm_mean_execution_time,planning_mean_total_time,planning_mean_planning_time,planning_mean_execution_time,wmplanning_mean_total_time,wmplanning_mean_planning_time,wmplanning_mean_execution_time
EXP01,PRE,,,,,,,,,,,,,,,,,
EXP01,POST,,,,,,,,,,,,,,,,,
EXP02,PRE,7,11,9,16,4,6,100.0,94.444444,5.666667,0.0,5.666667,8.875,3.0,5.875,10.333333,1.0,9.333333
EXP02,POST,,,,,,,,,,,,,,,,,
EXP04,PRE,3,4,9,16,4,6,100.0,100.0,4.5,0.0,4.5,18.625,3.0,15.625,21.666667,1.0,20.666667
EXP04,POST,,,,,,,,,,,,,,,,,
EXP06,PRE,3,4,9,16,6,9,94.722222,96.363636,8.0,0.0,8.0,30.0,3.0,27.0,29.0,1.0,28.0
EXP06,POST,,,,,,,,,,,,,,,,,
EXP07,PRE,2,1,9,16,6,9,90.681818,82.417582,7.0,0.0,7.0,26.75,3.0,23.75,23.8,1.0,22.8
EXP07,POST,,,,,,,,,,,,,,,,,
EXP08,PRE,3,4,9,16,4,5,100.0,100.0,6.0,0.0,6.0,20.5,3.0,17.5,25.666667,1.0,24.666667
EXP08,POST,,,,,,,,,,,,,,,,,
EXP09,PRE,,,,,,,,,,,,,,,,,
EXP09,POST,,,,,,,,,,,,,,,,,
EXP10,PRE,6,10,9,16,3,4,100.0,57.936508,6.6,0.0,6.6,9.625,3.0,6.625,24.0,1.0,23.0
EXP10,POST,,,,,,,,,,,,,,,,,
EXP11,PRE,,,,,,,,,,,,,,,,,
EXP11,POST,,,,,,,,,,,,,,,,,
EXP12,PRE,3,4,9,16,3,3,81.704545,100.0,10.0,0.0,10.0,29.875,3.0,26.875,24.5,1.0,23.5
EXP12,POST,,,,,,,,,,,,,,,,,
EXP13,PRE,,,,,,,,,,,,,,,,,
EXP13,POST,,,,,,,,,,,,,,,,,
EXP14,PRE,,,,,,,,,,,,,,,,,
EXP14,POST,,,,,,,,,,,,,,,,,
EXP15,PRE,0,0,9,16,2,2,95.833333,80.0,,,,32.5,3.0,29.5,44.0,1.0,43.0
EXP15,POST,,,,,,,,,,,,,,,,,
EXP16,PRE,0,0,9,16,5,7,72.223471,95.833333,,,,31.5,3.0,28.5,18.0,1.0,17.0
EXP16,POST,,,,,,,,,,,,,,,,,
GC03,PRE,2,1,9,14,2,2,75.064935,80.0,7.0,0.0,7.0,61.5,3.0,58.5,26.0,1.0,25.0
GC03,POST,2,2,9,16,9,15,97.727273,100.0,1.0,0.0,1.0,70.5,3.0,67.5,40.125,1.0,39.125
GC04,PRE,0,0,9,16,3,3,84.027778,75.714286,,,,43.625,3.0,40.625,48.0,1.0,47.0
GC04,POST,2,2,9,16,4,5,95.416667,93.939394,11.0,0.0,11.0,19.625,3.0,16.625,52.0,1.0,51.0
GC05,PRE,2,2,9,16,3,3,92.102273,91.666666,4.0,0.0,4.0,28.125,3.0,25.125,33.0,1.0,32.0
GC05,POST,5,8,9,16,5,7,93.75,100.0,6.25,0.0,6.25,18.5,3.0,15.5,18.0,1.0,17.0
GC06,PRE,2,2,8,14,2,1,67.407117,81.818182,16.0,0.0,16.0,43.571429,3.0,40.571429,31.0,1.0,30.0
GC06,POST,3,3,9,16,6,9,75.499084,93.030303,3.5,0.0,3.5,32.375,3.0,29.375,31.6,1.0,30.6
GC07,PRE,2,1,9,16,2,2,97.5,100.0,8.0,0.0,8.0,22.25,3.0,19.25,19.0,1.0,18.0
GC07,POST,0,0,9,15,3,3,92.857143,55.555556,,,,27.75,3.0,24.75,37.5,1.0,36.5
GC08,PRE,3,4,9,16,5,6,77.8364,78.333334,5.0,0.0,5.0,27.25,3.0,24.25,21.75,1.0,20.75
GC08,POST,3,3,9,16,5,7,97.5,95.0,6.5,0.0,6.5,21.375,3.0,18.375,22.0,1.0,21.0
GC09,PRE,2,2,9,16,3,4,85.320513,81.666666,9.0,0.0,9.0,34.125,3.0,31.125,30.0,1.0,29.0
GC09,POST,4,6,9,16,4,5,100.0,84.920635,7.0,0.0,7.0,22.25,3.0,19.25,28.666667,1.0,27.666667
