variable,n_obs,n_ids,interaction_beta,interaction_se,interaction_ci_low,interaction_ci_high,interaction_p_raw,aic,converged,method,q_fdr_bh
CBT_F_SPAN,202,101,-0.6423444976076562,0.2620835818591876,-1.1560188789909192,-0.1286701162243934,0.014249372528840685,643.8434799490524,True,powell,0.3385468666026551
WM_ACC,197,101,0.8723738771626274,0.35881594969983766,0.1691075386724099,1.5756402156528448,0.015046527404562448,719.8670817036261,True,powell,0.3385468666026551
TOL_TE,201,101,-18.613577556943827,8.993681520519658,-36.240869425585785,-0.9862856883018658,0.03848716828729907,2023.8657623677016,True,powell,0.5773075243094861
TOL_TE_LN,201,101,-0.12722558114047036,0.06697293934746275,-0.25849013020028283,0.004038967919342107,0.057478209301460165,57.44915058193851,True,lbfgs,0.6466298546414269
PLANNING_TP_LN,197,101,0.2533003946401816,0.16621024057071637,-0.07246569074016057,0.5790664800205239,0.12751474107770724,405.0840221895389,True,powell,0.7559502337206289
PWM_PERC,201,101,7.251917681916152,4.769941563197706,-2.0969959903120374,16.60083135414434,0.12842635015454315,1738.7118733367085,True,powell,0.7559502337206289
PLANNING_MATTI_MIN,197,101,-3.2360040724006467,2.209592981477576,-7.566726736589174,1.0947185917878803,0.14305056840142666,1375.43079736563,True,powell,0.7559502337206289
PWM_EFF,202,101,-2.662679425837297,1.9523231689410672,-6.489162523144897,1.1638036714703017,0.17261422022850603,1367.859101529848,True,powell,0.7559502337206289
TOL_VIO_REG,202,101,0.6291866028708188,0.49575120313824156,-0.34246790057253484,1.6008411063141725,0.2043847192696211,865.3042390838177,True,powell,0.7559502337206289
PLANNING_TP,197,101,1029.392396760864,828.0518396887187,-593.5593863611593,2652.344179882887,0.2138126739226478,3710.3801506118316,True,powell,0.7559502337206289
TOL_TP,202,101,12.129186602870746,9.804292819243564,-7.08687421673131,31.345247422472802,0.2160387546421414,2088.511096874043,True,powell,0.7559502337206289
PLANNING_TE,197,101,-1021.0242763474074,826.5275903796605,-2640.9885857202166,598.9400330254017,0.21671223734641354,3709.654253006167,True,powell,0.7559502337206289
PLANNING_OST,197,101,0.35840569912508874,0.2911897283555577,-0.2123156811198061,0.9291270793699835,0.21838562307484832,603.2584732977957,True,powell,0.7559502337206289
WM_SPAN,197,101,0.36900551511965207,0.31410992914860986,-0.24663863319805135,0.9846496634373555,0.24008853714709422,621.2320492430135,True,powell,0.7569100963381824
CBT_B_SPAN,202,101,0.4509569377990425,0.3939270864948736,-0.32112596426570456,1.2230398398637896,0.2523033654460608,823.3419909474178,True,powell,0.7569100963381824
RAVEN_T,202,101,16.749999999999602,16.90656104727744,-16.386250755091957,49.88625075509116,0.3218127355652246,2287.79762899251,True,powell,0.8153027762698253
RAVEN_T_LN,202,101,0.04681037911123852,0.04792636069005866,-0.04712356175135267,0.1407443199738297,0.3287104351117216,-83.22597813327252,True,powell,0.8153027762698253
PLANNING_TE_LN,196,101,-0.09306921273893676,0.09953508133771842,-0.28815438735912974,0.10201596188125622,0.3497680466491767,250.90986418259604,True,powell,0.8153027762698253
PLANNING_ACC,197,101,-0.45364465680296984,0.4973676308921591,-1.428467300427613,0.5211779868216732,0.3617206918878889,787.8844610468245,True,powell,0.8153027762698253
PLANNING_MATT,197,101,-3.437603814606352,3.7739228158211993,-10.83435661404989,3.9591489848371864,0.36235678945325567,1632.5978325692577,True,powell,0.8153027762698253
TOL_TP_LN,202,101,0.11385973425986956,0.13073710307387293,-0.14238027920802215,0.3700997477277613,0.3838054521688097,336.1865317406646,True,lbfgs,0.8224402546474492
PLANNING_COMPOSITE,197,101,-1.6822999303777393,2.0710479259182755,-5.741479275433937,2.376879414678459,0.41662291754742875,1366.5930342166948,True,lbfgs,0.8396833159845029
PWM_COMPOSITE,196,101,2.3545701484305157,3.0001336027982153,-3.525583661862382,8.234723958723414,0.43255807734384455,1486.8824665966722,True,powell,0.8396833159845029
TOL_ACC,199,101,-0.6092070678710627,0.83656330060244,-2.2488410078398,1.0304268720976744,0.4664753097906976,1074.4439023548805,True,powell,0.8396833159845029
PWM_TE_LN,171,97,-0.1447378374253283,0.2063447830855031,-0.5491661806706442,0.25969050581998754,0.4830304233805668,356.8606737635049,True,powell,0.8396833159845029
PLANNING_TR_LN,197,101,-0.06894151135277776,0.09876400221717196,-0.26251539866746887,0.12463237596191334,0.48515036034660164,247.7119681614613,True,powell,0.8396833159845029
PWM_TP_LN,184,101,0.3923323574973651,0.6347051352756785,-0.8516668484455876,1.636331563440318,0.5364874962325519,811.3665079389289,True,powell,0.862387268029094
WM_TRIAL,197,101,0.2377678479567591,0.39699342669719645,-0.5403249704688879,1.0158606663824061,0.5492253185206024,702.7935491172789,True,powell,0.862387268029094
TOL_TR_LN,202,101,-0.034595705885243216,0.06888401272511502,-0.16960588993706743,0.100414478166581,0.6155048421538604,85.68872104694117,True,powell,0.862387268029094
PWM_MATT,197,101,-2.2583355108279832,4.615519113639086,-11.304586743516824,6.787915721860857,0.6246351477152603,1666.6442558911476,True,powell,0.862387268029094
