variable,n_obs,n_ids,interaction_beta,interaction_se,interaction_ci_low,interaction_ci_high,interaction_p_raw,partial_eta2_approx,aic,converged,method,q_fdr_bh
CBT_F_SPAN,198,99,-0.7329734219269094,0.2575115818460763,-1.2376868479471574,-0.22825999590666146,0.004422068332842609,0.07858082123841854,625.0640112580052,True,powell,0.1989930749779174
WM_ACC,193,99,0.8962458837640472,0.3657401412199312,0.17940837927238884,1.6130833882557056,0.014265832264996042,0.05945199762026223,708.4462031260523,True,powell,0.2552908680818268
TOL_TE,197,99,-21.32289383615226,8.935589028258505,-38.83632651219019,-3.8094611601143313,0.017019391205455123,0.05655105540837539,1968.8842099080343,True,lbfgs,0.2552908680818268
TOL_TE_LN,197,99,-0.1408924152212466,0.06757555970475353,-0.27333807847769964,-0.008446751964793553,0.03707282912186721,0.04375633038514512,48.80529826750103,True,powell,0.4170693276210061
PLANNING_MATTI_MIN,193,99,-3.35313530861075,2.253046780889518,-7.769025854638111,1.0627552374166114,0.13668047828379992,0.022783934940800058,1351.1545867825248,True,powell,0.7095261190609672
PLANNING_TP_LN,193,99,0.24967755792082905,0.16891372751533548,-0.08138726450364084,0.5807423803452989,0.1393712272776573,0.02248176411623831,395.7881282958433,True,powell,0.7095261190609672
PWM_PERC,197,99,7.115728341180552,4.846382367457427,-2.3830065543459673,16.61446323670707,0.14203479026285473,0.02218884765149694,1707.390434402891,True,powell,0.7095261190609672
TOL_TP,198,99,13.471760797342114,9.958509167087058,-6.046558509860493,32.99008010454472,0.17612307551157036,0.018899484968969718,2050.154089645276,True,powell,0.7095261190609672
PLANNING_OST,193,99,0.37936092621063905,0.2946343119571435,-0.19811171383510123,0.9568335662563794,0.19789731318268833,0.017151477363123217,593.0606709527488,True,powell,0.7095261190609672
PLANNING_TP,193,99,1054.228963043797,845.4063616283822,-602.7370580488769,2711.194984136471,0.21239436175726634,0.016105119784883867,3639.182702890117,True,powell,0.7095261190609672
PLANNING_TE,193,99,-1050.4497526380376,843.6716263548387,-2704.015755071855,603.1162497957798,0.21309751622340656,0.016056476404441383,3638.3898575732937,True,powell,0.7095261190609672
WM_SPAN,193,99,0.3766495312722518,0.3205691034483598,-0.25165436604282826,1.0049534285873318,0.24001863517712863,0.014323278363424792,611.3623145242786,True,powell,0.7095261190609672
TOL_VIO_REG,198,99,0.5548172757475088,0.4949647918100925,-0.41529588981563836,1.524930441310656,0.2623207632176764,0.01305333294832441,840.2274477433411,True,lbfgs,0.7095261190609672
PWM_EFF,198,99,-1.5253322259136406,1.4491756860858367,-4.365664377913004,1.3149999260857224,0.29254653730840097,0.011527307655071378,1231.7076591295997,True,powell,0.7095261190609672
PLANNING_TE_LN,192,99,-0.10616605088037112,0.10128715126995295,-0.3046852194661393,0.09235311770539706,0.2945607557898565,0.011432607368447072,244.6576928577091,True,powell,0.7095261190609672
CBT_B_SPAN,198,99,0.40531561461793714,0.39865379392731537,-0.37603146377985347,1.1866626930157278,0.3092910302242068,0.010763938345499918,806.8416113930189,True,powell,0.7095261190609672
