,Filter 1,ID,gruppo,età,classe,sezione,CBT_F_SPAN_PRE,CBT_B_SPAN_PRE,TOL_TP_PRE,TOL_TE_PRE,TOL16-T_tot_PRE,TOL16_ACC_PRE,TOL_VIO_REG_PRE,Raven_ACC_PRE,RAVEN_T_PRE,WM_span_PRE,WM_trial_PRE,WM_acc_PRE,PLANNING_TP_PRE,PLANNING_TE_PRE,PLANNING_TOT_PRE,PLANNING_span_PRE,PLANNING_trial_PRE,PLANNING_ACC_PRE,PLANNING_OST_PRE,PLANNING_MATT_PRE,PLANNING_MATTI_MIN_PRE,PLANNING_PERC_PRE,PWM_ TP_PRE,PWM_ TE_PRE,PWM_ T_PRE,PWM_ TRIAL_PRE,PWM_ ACC_PRE,PWM_ OST_PRE,PWM_ MATT_PRE,PWM_ MATT_MIN_PRE,PWM_ PERC_PRE,ABAS_amb,ABAS_amb_suppongo,ABAS_comscol,ABAS_comscol_suppongo,ABAS_vitascuola,ABAS_vitascuola_suppongo,ABAS_sal_sic,ABAS_sal_sic_suppongo,ABAS_tempo_libero,ABAS_tempo_libero_suppongo,ABAS_curadisè,ABAS_curadisè_suppongo,ABAS_autocontrollo,ABAS_autocontrollo_suppongo,ABAS_soc,ABAS_soc_suppongo,BRIEF_ini,BRIEF_autom,BRI,BRIEF_shift,BRIEF_regem,ERI,BRIEF_avvio,BRIEF_WM,BRIEF_pianific,BRIEF_monitoraggiodelcompito,BRIEF_organiz,CRI,CBT_F_SPAN_POST,CBT_T_SPAN_POST,TOL_TP_POST,TOL_TE_POST,TOL16-T_tot_POST,TOL16_ACC_POST,TOL_VIO_REG_POST,Raven_ACC_POST,RAVEN_T_POST,WM_span_POST,WM_trial_POST,WM_acc_POST,PLANNING_TP_POST,PLANNING_TE_POST,PLANNING_TOT_POST,PLANNING_span_POST,PLANNING_trial_POST,PLANNING_ACC_POST,PLANNING_OST_POST,PLANNING_MATT_POST,PLANNING_MATTI_MIN_POST,PLANNING_PERC_POST,PWM_ TP_POST,PWM_ TE_POST,PWM_ T_POST,PWM_ TRIAL_POST,PWM_ ACC_POST,PWM_ OST_POST,PWM_ MATT_POST,PWM_ MATT_MIN_POST,PWM_ PERC_POST,tol_tp_pre,tol_te_pre,tol_rt_tot_pre,planning_tp_pre,planning_te_pre,planning_tr_tot_pre,pwm_tp_pre,pwm_te_pre,pwm_tr_tot_pre,tol_tp_post,tol_te_post,tol_tr_tot_post,plan_tp_post,plan_te_post,plan_rt_tot_post,pwm_tp_post,pwm_te_post,pwm_rt_tot_post,plan_eff_pre,plan_eff_post,delta_tol_acc,delta_corsi_F,delta_corsi_B,delta_plan,delta_wplan,delta_wm,delta_RT_tol,delta_RT_plan,delta_RT_wplan,abas_tot,brief_tot,pwm_eff_pre,pwm_eff_ps
Filter 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,1.0,0.07027422444928434,-0.05436904656696098,-0.4018523995498533,-0.027480011747348928,0.09359526724694718,-0.26620710217728116,0.06753757077771765,-0.07085785603689204,0.0059839813609372855,0.18956073715799104,0.07004163341589766,-0.08252950189928915,0.005795729072709434,-0.06844771258667852,0.08687191892271329,-0.11780825389287126,0.10450352387108629,-0.09907450154411958,0.18123350249682607,0.09604376791310175,0.045498777866777064,0.1428092985098275,-0.11329296653513232,0.03314599976444156,0.14043726347308053,0.1709077481796401,0.04175608500960147,-0.041415685765277675,0.07866160676726852,-0.09673551516682835,-0.02095824366862217,-0.19081096479570087,-0.0324609849297491,-0.025314538166783425,0.11976443579967376,-0.14393432169070838,0.20483693924728896,-0.029161583949583517,0.34508013714575836,0.049787764704086294,-0.010073077595524742,0.22222198746603988,-0.23230584702073093,0.17023807546711733,-0.11884928368254633,0.13431678174262426,-0.11582098608529538,0.2230200828245015,0.5953368204906886,0.12119317661513677,0.30508692791411807,-0.06212258310603353,-0.056139036648725486,-0.08833414544750542,-0.0482012218573955,0.07291636837399404,0.01537207552972719,-0.0692785395584013,-0.12909064752159166,0.007666526759824047,-0.12428599057330789,-0.0499146390558417,-0.08148490231251711,-0.09682435460269717,-0.11177887829252131,-0.25898852337993783,0.053362120145412834,-0.14674048613891869,0.04545475207161,0.0013012857191955593,-0.1781533150987171,-0.45094676177405174,-0.24938433853788963,-0.2550819926901486,-0.2677774814606136,-0.09560402612035579,-0.04160743295716849,-0.0567676335138904,-0.15703017016519558,-0.12409799437181741,-0.12430846812190018,-0.026405813914405253,-0.04576262995086528,-0.14770371864437662,-0.06444366861765116,-0.1809687137814019,0.18099977127862285,0.009151486446926378,0.08233309285552008,0.06137949685780623,0.05312435163172485,0.0791551596299073,0.09390828692892655,0.046314040868785204,0.03503827053031373,-0.024013348116169085,0.017652576301586766,0.1630819596728245,0.19968059221461687,0.2127534154137391,0.13945722748129677,0.10036125873625358,0.18802198433114367,-0.27069272370660874,0.06397135572676768,-0.1444184684537942,-0.0856268284740235,-0.016440654407370837,-0.04054335098855387,-0.10254282733142722,-0.006159360248042876,0.012966679553059232,-0.08651700848561965,0.01006692414949397,-0.11506675641901169,-0.18563546238161224,0.15301354540221399,0.06883310246725449,0.057260739302231065,-0.12938434361012807,-0.13663478998188744,-0.2676727950279577,-0.12616491766874946,0.09071791070748107,-0.06670826998611773,-0.042895841601358356,0.0027522370033920478
gruppo,,0.07027422444928434,1.0,-0.18002057495577384,-0.07818261411971492,-0.4429149842902556,-0.1651788912221972,-0.06062711486148597,0.00824420920843779,-0.15170089903105172,-0.08143877638166061,-0.046022821821023845,0.09747198083268707,-0.06301035965629956,0.02814131456709917,-0.018975834751776936,-0.031784226732225355,-0.0038445617537807386,0.12239920475141688,-0.11945508624021105,0.09509499436811686,0.07392212709545731,0.07858667988737345,-0.07139943474719238,0.16881618892162958,-0.04386999680812906,-0.11501783228530937,-0.1214936222263607,0.11890659838143093,-0.11837567958421501,0.10235015944236753,0.015158615890924949,0.049323505103547896,0.07416872778908405,0.009102039824746637,0.004535341098067911,0.052693956456935635,-0.012687508484408415,-0.23350155163013758,-0.10370209012175677,-0.5324954512617388,-0.06937130289331865,-0.2973505167250262,-0.2240808132654151,-0.2312279755224667,-0.039866740812058946,0.23297277907402333,-0.33210686030864717,-0.014750610319128133,-0.16152619550189595,0.5773502691896258,-0.33427189804324303,0.5773502691896258,0.23235390444826137,0.35779359989376064,0.27533532664717464,0.15333496047972023,0.10418756109024979,0.14378023643935525,0.015572130435390609,-0.04338882258762657,0.24775456684196376,0.14440120110618737,0.13903287965746383,0.11737427876540465,0.042365927286816395,-0.15251572327044033,-0.1998961469481243,0.15529426898194348,-0.0501773558667078,0.1621530459394131,0.11501272696448485,-0.1147596432729272,-0.12308454668737175,-0.19257375703541288,-0.12421095671672013,-0.30464101901545765,0.05683439593005085,0.15124830040145282,0.14097154331542738,0.06656965660245623,0.11051627487769382,0.06480335690083366,0.04872028364983394,0.09118645000488258,0.08747280256576338,-0.12858870266841127,0.136357521794074,-0.13533775074912077,0.14132284228187794,0.07757677015615601,-0.0011726432241618867,0.13039490349064273,0.05507978591229281,0.018791205841255147,-0.10932105662593156,0.008469145798616733,-0.11230032276081378,-0.054707478375623564,0.18755401064078112,0.07751390753462002,0.08068900452064709,0.2266616569163224,-0.025162554725519162,0.09929094860263667,-0.1952947341516223,0.15472408807104263,-0.03765420992527588,0.086556289182306,0.22627704640035373,0.2006215153453812,0.17164820349355817,0.17356472110681373,0.16243595932166455,0.04534927301067555,0.06548146231118096,0.15885894114664248,0.21760197624939837,-0.09427277987915599,0.031072152317629897,-0.03507961806603455,-0.26273590323597906,0.016535022233289412,0.1005632134172086,0.07659208539331876,-0.18839724174115158,0.17643185480085463,0.021627808556573747,0.1405070960487688
età,,-0.05436904656696098,-0.18002057495577384,1.0,0.7312105871292053,0.4123529932986283,0.25487656258609004,0.27434671414479334,-0.017017992830832815,0.05532076122253561,0.0200128467500571,0.2949479524929589,-0.22784055314849613,0.3757422138720927,-0.02387369900562972,0.3560490402559953,0.41563262495526376,0.32224186120680814,-0.08091687627449755,0.0684245780167678,-0.39664297908659346,0.2235660642041899,-0.025095936840232747,0.1569824592260195,-0.022367325120154564,-0.16357935049133165,0.02947912557705311,0.22196403758278868,0.03885727888213185,-0.0392028936834011,-0.07007754877866045,0.1368797554506155,0.17149628929601532,0.11361250555480105,0.11966836536074724,0.12740533850732463,-0.12668164849072497,0.5549175840162877,0.29787258849947956,0.5918625091728924,0.6265499037463736,0.3583341696130614,0.2868002428243081,0.230336370135676,0.24876033358683175,0.20649178154035436,-0.18176010364571576,0.38296902887648765,-0.2159903238502324,0.31751580291688,0.0,0.29565883508003016,-0.577350269189626,-0.004486215119348212,-0.024360935748677946,0.0032860910128311273,0.28511722806902295,0.04969292658192405,0.18478724381517908,0.08125980568768823,0.15874315961328045,0.3126069348962115,0.419880878830868,0.3740385809546401,0.3040932528480588,0.23795424396766346,0.21602468994692875,-0.05815900205740703,-0.36143487473307606,-0.2422459889094471,-0.17121828253624605,-0.23698869204801887,0.35939825633142236,0.035331135621280936,0.25404152345619385,0.2276147523977323,0.3121755541132609,-0.09715099316268397,-0.1951583511071659,-0.1872550674886722,-0.037749309746974366,-0.18553698205587998,-0.014874070399648451,-0.17796453232201948,-0.05421530866795422,-0.08826239474149862,0.04702089125080663,0.09803171888928322,-0.0990599034906208,-0.14865580984409008,-0.06061584281726637,0.019252311557763323,-0.12721266463263262,0.015732941242364556,-0.03144442598769762,-0.21375796760787547,0.0023872259129385925,0.05464785405508052,0.034098296533704164,-0.19428197170357173,-0.39920162848981433,-0.3951520165933438,0.028355761231200163,-0.04583767178724275,-0.07821391098603346,-0.03074646770143807,-0.3720018965331884,-0.2503037844596044,-0.14532563198325518,-0.23735608415557857,-0.22336591084345467,0.016306954233847603,-0.09615520706131903,-0.18305920312268212,-0.2782771849620225,-0.023938729003613445,-0.3619363262554132,-0.07610721815894839,-0.055227791305301026,0.16794962033489702,-0.10574042255123449,-0.013267973462605245,-0.2398940430996325,0.2177306218592707,-0.08823217901848983,0.5134816690922988,0.2348818945136189,0.030470895904605836,0.14972285974687508
classe,,-0.4018523995498533,-0.07818261411971492,0.7312105871292053,1.0,0.6868198101613203,0.22060351328341185,0.4523091596053308,0.09569728588341893,0.02680078465727737,0.08154471034903958,0.2741932053350384,-0.19420497529440908,0.3659961990259013,0.009436471709039385,0.34977588864227116,0.3211171022088351,0.33162581578613065,-0.16786319773013414,0.15855273554462224,-0.3095858405807316,0.1596141236534785,-0.009994003262453824,0.04343166195736299,0.07962571955343833,-0.06977545272890188,-0.06700813432064094,-0.030197493204400523,0.1337051785007504,-0.1338040312306545,-0.016289282441575362,0.20094400946312033,0.19462672977020237,0.22494014036153928,0.16179521050869347,0.1603571887312742,-0.13903029914332068,0.600391633486774,0.3701689722382964,0.6999492277352592,0.46222058638271224,0.3322073552408568,0.4940901796874404,-0.01530156304372975,0.6123526576144757,0.025932909902574325,-0.31298621848313535,0.24438278292851276,-0.3125252864821819,0.17355048479864763,-0.33333333333333326,0.02440908758329684,-0.5222329678670934,0.07934721301901208,0.03780113317605182,0.1014526092111035,0.2519727483783865,0.006888654342118892,0.14208149885176147,0.07611970951668123,0.0712429069258156,0.23549546580854264,0.29862660096436205,0.3012273733728196,0.21719377681284313,0.2735552728602479,0.2567617704553115,0.1828424798878542,-0.29104450852410607,-0.03790636420503625,-0.08671965211320572,-0.16307655461398485,0.4958241229020732,0.12735939954492698,0.3594999375993989,0.34298239886441534,0.39875672202928564,-0.11670741221578584,-0.21553030078268728,-0.2089197414440498,0.06819543365941833,-0.003659485244912411,0.020228729739032152,-0.020776795289443595,-0.026963998386519614,0.012374096244671163,0.12642313867921326,0.12386997809788178,-0.12550037864283742,-0.2348977850490943,-0.18518837761465182,-0.06963389397144558,-0.22888553671804246,-0.08425885116635465,-0.14235222545579015,-0.20486765482459882,0.14768102701424818,0.030275181694313973,0.08833115977044219,-0.24334929850845977,-0.33247211924777464,-0.3509533732075682,0.1049805069382722,-0.05617948082212025,-0.09331057381906643,0.25939937135681246,-0.29271338704366556,-0.016028753493754586,-0.16086237907138948,-0.22474348542118872,-0.21980994284994237,0.029397210602995365,-0.09727985719209077,-0.19163981589411136,-0.041023660678929916,-0.035177427715106416,-0.28169880987409296,-0.008005972395667848,-0.19205901158115746,-0.0052763122414876545,-0.18364648406134407,0.05404469963177478,-0.09112404938286126,0.17332958373523302,-0.07623742869666811,0.40653638161328315,0.1944591504587228,0.08576729328538227,0.12326172231544312
sezione,,-0.027480011747348928,-0.4429149842902556,0.4123529932986283,0.6868198101613203,1.0,0.25555995469844817,0.32584506662302115,0.25193402916944196,0.02510596467015257,0.19695591049580183,0.2183598855431943,-0.10494157856432337,0.14511938730673302,0.07775978877133051,0.18861720283550729,0.2234855723186097,0.09198955113671334,-0.16766895126042203,0.17049350976496014,0.0770695295099741,0.15187060907570443,0.02362926595858304,0.1365269520313356,-0.05676479043438282,0.13070625630071575,0.07724986119916988,-0.050020111161478295,0.12123162349545256,-0.12093235311850975,0.07350272808255466,0.09616240323407357,0.09208279270232163,0.05344736475818864,0.09859813144082917,0.0965592779046669,-0.05102185116690763,0.1648646190463662,0.46658318284285183,0.48583790323745785,0.5638805822774094,0.2987413797325402,0.7222474670460846,0.03279939739417924,0.7362103770773486,0.04543375243063871,-0.41930636118350995,0.35955540375605444,-0.34027826371874825,0.25179346973358463,,0.07894500333056492,-0.5222329678670934,-0.10027285344953696,-0.21027365481380705,-0.11613674222310166,0.043124364160312824,-0.1033769478077105,-0.03277700992064907,-0.03375735668383043,-0.06581165812431322,0.017669520951545694,0.08421931667495455,0.1261232372467103,0.01980347287043215,0.07633724386726333,0.16525932545644498,0.3535465530905517,-0.22329595749825104,0.11218026954195887,-0.03886792996612488,-0.11097350404225272,0.33402086006341036,0.10559726620321529,0.15370417992438024,0.1299750291692194,0.3069801214942461,0.026298042880561572,-0.14174182785525125,-0.11110947162075764,-0.0015421534014696985,0.0032142616718391845,-0.027767086623521585,0.03214882222728133,0.0038358053631464303,-0.021075278323563113,0.09121045272569775,0.003408007790627682,-0.005631858900359008,-0.29622536300849456,-0.2756052111845811,-0.1546971993336141,-0.2838212896483319,-0.18885063539098101,-0.2083158876323982,-0.010530143230750614,0.30123891029679506,0.031080413556537508,0.1887554197318888,-0.11559579366466773,0.07099961520699014,0.03751254984354758,0.06751858193830582,0.1427986404710587,0.05663632309968256,0.44082713324757594,-0.24661185046655337,0.14053419136909015,-0.010860782337006668,-0.15716715260453246,-0.128241405466328,-0.0693081359181786,-0.19123612750550276,-0.23428691008652974,0.12716419065463644,0.013445735808762073,-0.19887648259555893,-0.21703689648433888,-0.1675090840543205,-0.07293627108343227,-0.16988388992722633,0.1670500865234038,-0.05085376410589559,-0.1560112028288031,-0.21455430418871257,0.277582202973418,-0.026297277954137034,0.05962674344823754,-0.06016804322601654
CBT_F_SPAN_PRE,,0.09359526724694718,-0.1651788912221972,0.25487656258609004,0.22060351328341185,0.25555995469844817,1.0,0.4161740402475939,0.08152459091840915,-0.24837042469243448,-0.08631142324867716,0.2400849401084994,-0.15753537731376907,0.3041732547649393,-0.1825630701040294,0.34066530107917425,0.3431454464477494,0.3501613028754308,0.0814696180298964,-0.09455865088951435,-0.3906822269330747,-0.00915778124281068,-0.03183132785142323,0.06635910312550236,-0.10752406221520079,-0.0429426319778792,0.08314266694203205,0.1699768715110159,0.080390083278966,-0.08172900878674229,-0.23375936755677593,-0.07361417094058835,-0.003026103556987177,-0.16505583983082434,-0.02805681226144147,-0.013202232557995405,0.051160887479634765,0.17724321609799787,0.1343375650970478,0.2401441510687753,0.26465333569211635,0.27334580017350935,0.1542173151909975,0.08786230896464477,0.20577606762266412,0.234586761053078,-0.005515861602679205,0.3207473396084681,-0.031161200788570223,0.22474504510805102,0.7745966692414834,0.1538412020407597,0.577350269189626,0.0025810962120275107,-0.10241254646724031,-0.08196032202769528,-0.04435167184017827,0.016111221316555555,-0.015078751075474024,-0.1620476350230361,-0.1703632289987038,-0.06689757951594592,-0.13215519001706547,-0.08262626576328656,-0.13771560419715168,0.49905429741462776,0.42915345889238776,0.012182524276940344,-0.24993806433436722,-0.13141713884218845,0.11083639210130364,-0.08066704956516976,0.42165567150148897,-0.18685183148140663,0.16031796311463575,0.13711034646044507,0.256246276315801,-0.2755633219117227,-0.4932993451970005,-0.480069224615515,-0.06680010505481415,-0.08887555597629658,-0.06583050183818927,-0.03775038377807477,-0.09419904188747619,-0.07813250357784757,0.14440795954512206,0.009841880191919271,-0.011873174061264712,-0.2888725575818549,-0.055618407559884835,-0.02765977560046526,-0.06253108716660909,-0.016849522984480458,-0.03949761962818575,-0.07535138658857055,0.07058781453537857,-0.24744425389092561,-0.10156444627034565,-0.12888872759885464,-0.3223011270031548,-0.2985456943432364,0.00850342839535274,-0.14300493761987237,-0.1786465142150547,0.003270377236224752,-0.2784070659066109,-0.14705473903214614,-0.29074303591717116,-0.44584077972752223,-0.4276796378564197,-0.026954431885046346,-0.22677801005848006,-0.2365819346844672,-0.1466509306092845,-0.07270271687391901,-0.1054690345703915,-0.6705984090430378,0.019319680035768123,0.03148389600921769,-0.017140680451100974,-0.08690957354385075,-0.03400100580533108,-0.0777392091604986,-0.05962355573230974,0.26500820832151306,-0.10745374337579139,-0.06958081916322001,0.057488085457568755
CBT_B_SPAN_PRE,,-0.26620710217728116,-0.06062711486148597,0.27434671414479334,0.4523091596053308,0.32584506662302115,0.4161740402475939,1.0,0.07984885552934565,-0.1486199099604143,-0.03017271177944857,0.16577175667374874,-0.13318979834399403,0.34934141277374625,0.021054989685711303,0.36547983592645045,0.2829221077696882,0.4329486723665272,0.14013946893384993,-0.1525888107790755,-0.37297421024893135,-0.08703904589956793,-0.14725198265802342,-0.07254059827883631,0.010428761731569014,-0.06678270452731869,-0.11490538626831044,-0.11674056100498507,-0.09009598850926376,0.089856404695703,-0.06395100446677648,0.12131105537235204,0.09616309713012909,0.13677088477141505,0.07793531425037667,0.07192966581531003,-0.16908256512093725,0.40161578995043984,0.03353051660312598,0.4040684847335749,0.1057582001073213,0.2426400950674458,0.2862824063825641,-0.034117028308957124,0.3679902599808653,0.13108698061559124,-0.06928095759263489,0.2500031408516687,0.10070263712640051,0.19051152941824245,0.49374193110101877,0.10286403292997388,0.3333333333333333,-0.03141930133161045,-0.18643154940075407,-0.13583333653525523,-0.17363666715929782,-0.05728589803106445,-0.12802533131070973,-0.23997416340732877,-0.2350959288763141,-0.11365599050891839,-0.13502185982428538,-0.12214329751569908,-0.19006273214652,0.36378410116240295,0.5088282634079917,0.2002361888677742,-0.22180823301859245,0.012153047231715631,0.05294331420013662,-0.16012239268080491,0.4903797638896024,-0.015360419722087952,0.19766713332801833,0.17667412872475666,0.28541742752259214,-0.13924410179970767,-0.3126459320865539,-0.2962975666696658,0.13015862050233848,0.03046865483098712,0.15465932568515314,-0.10039992217551445,0.030362790741750887,0.13480292810223674,0.16196950723882234,0.043509091794766655,-0.043851057727995295,-0.049727264886699964,0.06294883850151374,0.13205518849092138,-0.04783545610207204,0.14656124228132725,0.08522375474661016,-0.1779029470642663,0.07241215593397557,-0.12824099460275395,-0.029147026306647256,-0.04169228040702837,-0.3920350037281035,-0.36268685392938355,-0.06894318344401694,-0.04671383498640601,-0.033887327014030515,0.21742138019670357,-0.23301485391847676,0.007988342071183286,-0.11870286823234438,-0.28812081906756487,-0.26176526272552963,0.007258049949830795,-0.053367593573296124,-0.05918080864212479,0.010291259877166295,-0.02189975805186912,-0.09065322086998179,-0.14546555324785398,-0.4844142613745146,-0.02783497787431884,0.025068363776455688,-0.1349004211348869,0.032332229577539257,0.14674789536502558,-0.04705529680915353,0.29652941449525055,-0.18254821477143526,0.061214562221646306,0.26901729194221813
TOL_TP_PRE,,0.06753757077771765,0.00824420920843779,-0.017017992830832815,0.09569728588341893,0.25193402916944196,0.08152459091840915,0.07984885552934565,1.0,0.2420848460992655,0.830299122675181,0.22655695553334973,-0.1389574227364259,0.02751029651938427,0.09828490299056603,-0.009595032764701665,0.03899092922868319,-0.11769547918000164,0.38443248871865543,-0.37577946243905985,0.3065569226099892,0.053223507999271495,-0.04187778599632921,0.140329839576944,-0.1565199702165184,0.11605317653237963,0.12594151523198188,0.021443671157026487,-0.04046012141962996,0.04116817007117468,0.13744185683101584,-0.03375877896651529,-0.03650663359260229,-0.08486358452925355,-0.0391457605587658,-0.010564922654036094,0.058385016084794655,-0.021111795799650866,0.2955206200838212,0.10112642318363838,0.060381671579260554,0.047227960337102214,0.09471797217211163,0.026236969991150685,0.17260090353146218,0.059894371796968035,-0.027601967094979894,0.1575521072323026,-0.07450714160727237,0.14138204128824253,-0.10862749168439238,-0.07414909721825308,-0.49046043379457294,-0.10380866924733367,-0.1509505461208476,-0.14917731763787637,-0.14059261257846525,-0.054283223797393185,-0.10818923901217953,-0.12005543075097501,-0.20104542177519075,-0.13089954690349395,-0.10163793826042015,-0.05236529030811354,-0.14648151824066066,0.004424131859585154,0.05043312886838958,0.3423995774466854,0.2294134569181799,0.3637547429411983,0.13339461665971203,-0.2188776756027538,0.06182628440983405,0.03718216808405465,-0.09726102761377718,-0.10574489288006153,-0.06862686468948516,0.28364177852623057,0.16993057051014007,0.20782056473171953,-0.02442223083042151,0.05126564544189493,-0.10340010605184853,0.15384803237425348,-0.14156795360852487,-0.10426465483573331,0.07037791446577775,0.0004486610391731053,0.0005218275982807673,0.13787939226151136,-0.04898750728459798,0.028164696808083194,-0.11924440372002193,-0.01592188305203452,0.01603596278471652,0.0735071356421414,0.9164547524741776,0.2690648632891131,0.7802082987840279,0.4204639435330816,0.24590603036730996,0.2759413184103847,-0.035791392609090505,0.12463953082201766,0.11139745754822031,0.3062313814774353,0.2528724441706007,0.3897936901346542,0.2442906458966707,0.201777886777255,0.21762315640923152,0.0483489507005069,0.20002861454611914,0.18940994521143362,0.05408810966564431,-0.11470339790817208,-0.07775218700425116,-0.08571124144876881,-0.0287170483655392,-0.1459175010710918,0.04495436278065703,0.044502476740276437,-0.3592649885757352,-0.09437373009913042,0.05392081436418253,0.05549127613978621,-0.15401255104745926,-0.12650545976271418,-0.10452598817431306
TOL_TE_PRE,,-0.07085785603689204,-0.15170089903105172,0.05532076122253561,0.02680078465727737,0.02510596467015257,-0.24837042469243448,-0.1486199099604143,0.2420848460992655,1.0,0.7417434700000761,0.24529659296306008,-0.1192896169884863,-0.09088272076925479,0.19466707265605152,-0.29849794593158235,-0.15254993736991063,-0.36044188735595395,0.04151619725388892,-0.03396707934571795,0.23547884792782176,-0.09515334077416918,-0.11537077560086179,-0.06008891350462972,-0.014198207690633425,-0.08271775707408521,-0.06911679841587254,-0.04104286888202552,-0.09998980960685765,0.10013607687773496,0.01266604071874874,0.03423681251264965,-0.03697294208905923,0.09169035865456789,0.008248795543653169,0.01868760241174669,0.13250349689652113,0.04112751392578018,0.10948403885334217,0.05189299145832303,0.022814700652506452,0.06802413586666574,-0.1836612213316276,0.21097523163509682,-0.2762754266410066,0.014551392448945448,0.38620978878288675,0.20604017736602168,0.04513021469038585,0.056919541449899407,-0.9303666181503862,0.06738473799613229,-0.9226220933261874,-0.08402144721827035,-0.10482776626175899,-0.0718263872782891,-0.007923164904700396,-0.03656853854156191,-0.025304906329933964,0.1347310497062919,-0.010289377170385245,-0.012570219831651306,-0.015951037489000723,0.020138393893744732,0.01576405929574504,-0.18353987567109922,0.0840557087061852,0.0641849880321182,0.1911502510012751,0.15162834401909214,0.06895153826030213,-0.25975422411219806,-0.005673792312345217,0.28743802114397526,-0.08973428790295242,-0.12477269701546134,-0.060362570034796253,0.14243798554483905,0.08261885440026345,0.10206040647607785,-0.014148872714286718,-0.052517274404402625,-0.02966939936592575,-0.018324982024130413,-0.09129911625764127,-0.06126046911979222,0.08558204486740557,0.10622844749434827,-0.10561238444723833,0.0847512346323342,-0.02014620034829682,-0.00863064838283039,-0.00845327667105005,-0.03629016140082899,-0.014032963495955855,-0.00535350277362404,0.2562923556064301,0.9796340980824653,0.7628300757414215,0.09937379266631914,0.20174529922846074,0.18202032160396237,-0.1292150516898786,0.04631190880352394,-0.0013071584552077522,0.0774880596552021,0.21311936166119508,0.16440199224964924,0.08400649693788505,0.0731132216485725,0.07501693694652424,0.08085890202071046,0.12627727761981455,0.08347208815303835,-0.058706115986395885,-0.07644738406117334,-0.1412402059845847,0.11554567993847473,0.23426267077760557,-0.03232744912159432,0.01967986253146561,0.26716666729173455,-0.5329969123923293,-0.1263710866652502,0.0285801652458006,0.10567725575754294,-0.014606273179424305,-0.03500345990566391,-0.08765701004033483
